Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,87.87699890136719,88.03250122070312,85.39250183105469,86.41200256347656,86.31378173828125,38038000
2021-01-05,86.25,87.38349914550781,85.90074920654297,87.0459976196289,86.94705963134766,22906000
2021-01-06,85.13150024414062,87.4000015258789,84.94999694824219,86.7645034790039,86.66587829589844,52042000
2021-01-07,87.00299835205078,89.41999816894531,86.85250091552734,89.36250305175781,89.26092529296875,45300000
2021-01-08,89.39900207519531,90.49199676513672,88.67675018310547,90.3604965209961,90.2577896118164,41012000
2021-01-11,89.30349731445312,89.71575164794922,88.0260009765625,88.33599853515625,88.23558807373047,24194000
2021-01-12,87.69599914550781,88.9020004272461,86.2655029296875,87.32749938964844,87.22824096679688,27140000
2021-01-13,86.92900085449219,88.25174713134766,86.90049743652344,87.72000122070312,87.62029266357422,21882000
2021-01-14,87.68099975585938,88.75050354003906,86.66999816894531,87.00900268554688,86.91010284423828,23590000
2021-01-15,86.90950012207031,87.80000305175781,86.07749938964844,86.80950164794922,86.71083068847656,26844000
2021-01-19,87.61250305175781,90.46375274658203,87.072998046875,89.54299926757812,89.44121551513672,34692000
2021-01-20,91.572998046875,95.18550109863281,91.27649688720703,94.34500122070312,94.23776245117188,49806000
2021-01-21,94.9000015258789,96.74299621582031,94.35549926757812,94.5625,94.45501708984375,41278000
2021-01-22,94.78399658203125,95.54750061035156,94.08799743652344,95.05249786376953,94.9444580078125,25442000
2021-01-25,96.03350067138672,96.47899627685547,93.37650299072266,94.97000122070312,94.86205291748047,38546000
2021-01-26,94.44200134277344,96.25,94.21224975585938,95.86199951171875,95.75303649902344,26262000
2021-01-27,94.12650299072266,94.5,90.44999694824219,91.53949737548828,91.4354476928711,54966000
2021-01-28,92.1969985961914,94.94149780273438,92.13200378417969,93.15550231933594,93.04961395263672,35462000
2021-01-29,92.30850219726562,92.86399841308594,90.51000213623047,91.78700256347656,91.68267059326172,32252000
2021-02-01,92.67849731445312,96.11959838867188,92.54650115966797,95.06749725341797,94.95943450927734,32044000
2021-02-02,96.12799835205078,97.78800201416016,95.72450256347656,96.37550354003906,96.26596069335938,45474000
2021-02-03,103.6500015258789,105.82499694824219,100.91899871826172,103.50350189208984,103.38585662841797,82364000
2021-02-04,103.44450378417969,103.92749786376953,102.12950134277344,103.11849975585938,103.00128936767578,37046000
2021-02-05,103.5,105.12550354003906,102.96649932861328,104.9000015258789,104.78076934814453,30702000
2021-02-08,105.29550170898438,106.17735290527344,103.5999984741211,104.64550018310547,104.52655029296875,24838000
2021-02-09,103.927001953125,105.25650024414062,103.927001953125,104.17549896240234,104.05708312988281,17798000
2021-02-10,104.71050262451172,105.41850280761719,103.15450286865234,104.76899719238281,104.64990997314453,22710000
2021-02-11,104.97550201416016,105.10150146484375,103.86599731445312,104.79450225830078,104.67538452148438,18914000
2021-02-12,104.51249694824219,105.44100189208984,104.15650177001953,105.20549774169922,105.0859146118164,17114000
2021-02-16,105.21800231933594,107.63400268554688,105.21800231933594,106.09500122070312,105.97441101074219,22676000
2021-02-17,105.0,106.68299865722656,104.94599914550781,106.41549682617188,106.29454040527344,21418000
2021-02-18,105.51950073242188,106.63674926757812,105.18550109863281,105.86000061035156,105.73967742919922,22432000
2021-02-19,105.9635009765625,106.52649688720703,104.87049865722656,105.05699920654297,104.93758392333984,29148000
2021-02-22,103.3499984741211,104.57099914550781,103.10700225830078,103.24400329589844,103.12664794921875,27350000
2021-02-23,101.25050354003906,104.10050201416016,100.10099792480469,103.54299926757812,103.42530822753906,33348000
2021-02-24,102.09149932861328,105.03900146484375,101.90650177001953,104.75849914550781,104.6394271850586,24966000
2021-02-25,103.37249755859375,104.74400329589844,101.06449890136719,101.56800079345703,101.45255279541016,36568000
2021-02-26,102.5260009765625,103.55049896240234,100.8030014038086,101.84300231933594,101.72724151611328,41670000
2021-03-01,102.82599639892578,104.32599639892578,102.30500030517578,104.07550048828125,103.95719909667969,28090000
2021-03-02,103.80950164794922,105.21849822998047,103.56300354003906,103.79199981689453,103.67402648925781,22692000
2021-03-03,103.3604965209961,104.4259033203125,100.5,101.33550262451172,101.22032165527344,29684000
2021-03-04,101.16850280761719,104.46199798583984,101.01349639892578,102.45449829101562,102.33804321289062,42360000
